Constraints,M_Bacteroides_thetaiotaomicron_VPI_5482 + M_Escherichia_coli_ED1a,M_Bacteroides_thetaiotaomicron_VPI_5482 + M_Streptococcus_salivarius_DSM_20560
33 uM Fe,5.1796875,0.0
0 uM Fe/H,5.179687500000001,0.0
"0,7 uM H; 8,2 uM Fe",5.1796875,0.0
"2,7 uM H; 33 uM Fe",5.179687500000001,0.0
"2,7 uM H",5.1796875,0.0
125 uM Fe,5.1796875,0.0
125 uM H,5.1796875,0.0
125 uM H; 2 mM Fe,5.1796875,0.0
125 uM H; 125 uM Fe,5.1796875,0.0
No constraints,5.185546875,0.5976562500000001
