Protein pool exchange,Escherichia_coli_ED1a
0 - 0.1,0.0007673848925718479
0 - 0.2,0.0015347697851436958
0 - 0.3,0.002302154677715544
0 - 0.4,0.0030695395702873916
0 - 0.5,0.0038369244628592386
0 - 0.6,0.004604309355431088
0 - 0.7,0.005371694248002933
0 - 0.8,0.006139079140574783
0 - 0.9,0.00690646403314663
0 - 1.0,0.007673848925718477
