Protein pool exchange,Streptococcus_parasanguinis_ATCC_15912
0 - 0.1,0.00014375934065246322
0 - 0.2,0.0002875186813049264
0 - 0.3,0.0004312780219573895
0 - 0.4,0.0005750373626098528
0 - 0.5,0.000718796703262316
0 - 0.6,0.000862556043914779
0 - 0.7,0.0010063153845672422
0 - 0.8,0.0011500747252197055
0 - 0.9,0.0012938340658721688
0 - 1.0,0.001437593406524632
