Constraints,M_Bacteroides_thetaiotaomicron_VPI_5482 + M_Escherichia_coli_ED1a,M_Bacteroides_thetaiotaomicron_VPI_5482 + M_Streptococcus_salivarius_DSM_20560
33 uM Fe,0.0009765625,0
0 uM Fe/H,0.0009765625,0
"0,7 uM H; 8,2 uM Fe",0.0009765625,0
"2,7 uM H; 33 uM Fe",0.0009765625,0
"2,7 uM H",0.0009765625,0
125 uM Fe,0.0009765625,0
125 uM H,0.0009765625,0
125 uM H; 2 mM Fe,0.0009765625,0
125 uM H; 125 uM Fe,0.0009765625,0
No constraints,0.0009765625,0
